repo;metric;value
IBM/appid-spring-boot-starter;ContainsActivationCount;0
IBM/appid-spring-boot-starter;ContainsTestsCount;0
IBM/appid-spring-boot-starter;ContainsDevCount;0
IBM/appid-spring-boot-starter;ContainsProdCount;0
IBM/appid-spring-boot-starter;PropertiesContainsVersionCount;0
IBM/cc-dbp;ProfilesCount;0
IBM/cc-dbp;ContainsReleaseCount;0
IBM/cc-dbp;ContainsPropertiesCount;0
IBM/cc-dbp;ContainsActivationCount;0
IBM/cc-dbp;ContainsTestsCount;0
IBM/cc-dbp;ContainsDevCount;0
IBM/cc-dbp;ContainsProdCount;0
IBM/cc-dbp;PropertiesContainsVersionCount;0
IBM/cics-bundle-common;ProfilesCount;1
IBM/cics-bundle-common;ContainsReleaseCount;0
IBM/cics-bundle-common;ContainsPropertiesCount;0
IBM/cics-bundle-common;ContainsActivationCount;1
IBM/cics-bundle-common;ContainsTestsCount;0
IBM/cics-bundle-common;ContainsDevCount;0
IBM/cics-bundle-common;ContainsProdCount;0
IBM/cics-bundle-common;PropertiesContainsVersionCount;0
IBM/cics-bundle-maven;ProfilesCount;1
IBM/cics-bundle-maven;ContainsReleaseCount;0
IBM/cics-bundle-maven;ContainsPropertiesCount;0
IBM/cics-bundle-maven;ContainsActivationCount;1
IBM/cics-bundle-maven;ContainsTestsCount;0
IBM/cics-bundle-maven;ContainsDevCount;0
IBM/cics-bundle-maven;ContainsProdCount;0
IBM/cics-bundle-maven;PropertiesContainsVersionCount;0
IBM/cos-spring;ProfilesCount;1
IBM/cos-spring;ContainsReleaseCount;0
IBM/cos-spring;ContainsPropertiesCount;0
IBM/cos-spring;ContainsActivationCount;0
IBM/cos-spring;ContainsTestsCount;0
IBM/cos-spring;ContainsDevCount;0
IBM/cos-spring;ContainsProdCount;0
IBM/cos-spring;PropertiesContainsVersionCount;0
IBM/etcd-java;ProfilesCount;1
IBM/etcd-java;ContainsReleaseCount;1
IBM/etcd-java;ContainsPropertiesCount;0
IBM/etcd-java;ContainsActivationCount;1
IBM/etcd-java;ContainsTestsCount;0
IBM/etcd-java;ContainsDevCount;0
IBM/etcd-java;ContainsProdCount;0
IBM/etcd-java;PropertiesContainsVersionCount;0
IBM/event-streams-spring-boot-starter;ProfilesCount;1
IBM/event-streams-spring-boot-starter;ContainsReleaseCount;1
IBM/event-streams-spring-boot-starter;ContainsPropertiesCount;0
IBM/event-streams-spring-boot-starter;ContainsActivationCount;0
IBM/event-streams-spring-boot-starter;ContainsTestsCount;0
IBM/event-streams-spring-boot-starter;ContainsDevCount;0
IBM/event-streams-spring-boot-starter;ContainsProdCount;0
IBM/event-streams-spring-boot-starter;PropertiesContainsVersionCount;0
IBM/ibm-cos-sdk-java;ProfilesCount;1
IBM/ibm-cos-sdk-java;ContainsReleaseCount;0
IBM/ibm-cos-sdk-java;ContainsPropertiesCount;1
IBM/ibm-cos-sdk-java;ContainsActivationCount;1
IBM/ibm-cos-sdk-java;ContainsTestsCount;1
IBM/ibm-cos-sdk-java;ContainsDevCount;0
IBM/ibm-cos-sdk-java;ContainsProdCount;0
IBM/ibm-cos-sdk-java;PropertiesContainsVersionCount;0
IBM/ibm-cos-sdk-java-config;ProfilesCount;1
IBM/ibm-cos-sdk-java-config;ContainsReleaseCount;0
IBM/ibm-cos-sdk-java-config;ContainsPropertiesCount;0
IBM/ibm-cos-sdk-java-config;ContainsActivationCount;0
IBM/ibm-cos-sdk-java-config;ContainsTestsCount;0
IBM/ibm-cos-sdk-java-config;ContainsDevCount;0
IBM/ibm-cos-sdk-java-config;ContainsProdCount;0
