repo,metric,value
adobe/commerce-cif-connector,ProfilesCount,1
adobe/commerce-cif-connector,ContainsActivationCount,1
adobe/commerce-cif-connector,ActivationContainsJDKCount,0
adobe/commerce-cif-connector,ActivationContainsOSCount,0
adobe/commerce-cif-connector,ActivationContainsPropertyCount,1
adobe/commerce-cif-connector,ActivationContainsFileCount,0
adobe/commerce-cif-connector,ActivationIsActiveByDefaultCount,0
adobe/commerce-cif-graphql-client,ProfilesCount,2
adobe/commerce-cif-graphql-client,ContainsActivationCount,1
adobe/commerce-cif-graphql-client,ActivationContainsJDKCount,0
adobe/commerce-cif-graphql-client,ActivationContainsOSCount,0
adobe/commerce-cif-graphql-client,ActivationContainsPropertyCount,1
adobe/commerce-cif-graphql-client,ActivationContainsFileCount,0
adobe/commerce-cif-graphql-client,ActivationIsActiveByDefaultCount,0
adobe/commerce-cif-magento-graphql,ProfilesCount,1
adobe/commerce-cif-magento-graphql,ContainsActivationCount,1
adobe/commerce-cif-magento-graphql,ActivationContainsJDKCount,0
adobe/commerce-cif-magento-graphql,ActivationContainsOSCount,0
adobe/commerce-cif-magento-graphql,ActivationContainsPropertyCount,1
adobe/commerce-cif-magento-graphql,ActivationContainsFileCount,0
adobe/commerce-cif-magento-graphql,ActivationIsActiveByDefaultCount,0
adobe/summit2019-l722-lab-project,ProfilesCount,4
adobe/summit2019-l722-lab-project,ContainsActivationCount,4
adobe/summit2019-l722-lab-project,ActivationContainsJDKCount,0
adobe/summit2019-l722-lab-project,ActivationContainsOSCount,0
adobe/summit2019-l722-lab-project,ActivationContainsPropertyCount,0
adobe/summit2019-l722-lab-project,ActivationContainsFileCount,0
adobe/summit2019-l722-lab-project,ActivationIsActiveByDefaultCount,4
adobe/summit2019-l767-lab-project,ProfilesCount,4
adobe/summit2019-l767-lab-project,ContainsActivationCount,4
adobe/summit2019-l767-lab-project,ActivationContainsJDKCount,0
adobe/summit2019-l767-lab-project,ActivationContainsOSCount,0
adobe/summit2019-l767-lab-project,ActivationContainsPropertyCount,0
adobe/summit2019-l767-lab-project,ActivationContainsFileCount,0
adobe/summit2019-l767-lab-project,ActivationIsActiveByDefaultCount,4
alibaba/arthas,ProfilesCount,1
alibaba/arthas,ContainsActivationCount,1
alibaba/arthas,ActivationContainsJDKCount,1
alibaba/arthas,ActivationContainsOSCount,0
alibaba/arthas,ActivationContainsPropertyCount,0
alibaba/arthas,ActivationContainsFileCount,0
alibaba/arthas,ActivationIsActiveByDefaultCount,0
alibaba/cli,ProfilesCount,1
alibaba/cli,ContainsActivationCount,1
alibaba/cli,ActivationContainsJDKCount,0
alibaba/cli,ActivationContainsOSCount,0
alibaba/cli,ActivationContainsPropertyCount,1
alibaba/cli,ActivationContainsFileCount,0
alibaba/cli,ActivationIsActiveByDefaultCount,0
alibaba/cobarclient,ProfilesCount,1
alibaba/cobarclient,ContainsActivationCount,1
alibaba/cobarclient,ActivationContainsJDKCount,0
alibaba/cobarclient,ActivationContainsOSCount,0
alibaba/cobarclient,ActivationContainsPropertyCount,1
alibaba/cobarclient,ActivationContainsFileCount,0
alibaba/cobarclient,ActivationIsActiveByDefaultCount,0
alibaba/druid,ProfilesCount,4
alibaba/druid,ContainsActivationCount,4
alibaba/druid,ActivationContainsJDKCount,0
alibaba/druid,ActivationContainsOSCount,0
alibaba/druid,ActivationContainsPropertyCount,1
alibaba/druid,ActivationContainsFileCount,3
alibaba/druid,ActivationIsActiveByDefaultCount,3
alibaba/druid-ha,ProfilesCount,2
alibaba/druid-ha,ContainsActivationCount,2
alibaba/druid-ha,ActivationContainsJDKCount,0
alibaba/druid-ha,ActivationContainsOSCount,0
alibaba/druid-ha,ActivationContainsPropertyCount,0
alibaba/druid-ha,ActivationContainsFileCount,2
alibaba/druid-ha,ActivationIsActiveByDefaultCount,2
alibaba/fastjson,ProfilesCount,1
alibaba/fastjson,ContainsActivationCount,1
alibaba/fastjson,ActivationContainsJDKCount,0
alibaba/fastjson,ActivationContainsOSCount,0
alibaba/fastjson,ActivationContainsPropertyCount,1
alibaba/fastjson,ActivationContainsFileCount,0
alibaba/fastjson,ActivationIsActiveByDefaultCount,0
alibaba/java-dns-cache-manipulator,ProfilesCount,1
alibaba/java-dns-cache-manipulator,ContainsActivationCount,1
alibaba/java-dns-cache-manipulator,ActivationContainsJDKCount,0
alibaba/java-dns-cache-manipulator,ActivationContainsOSCount,0
alibaba/java-dns-cache-manipulator,ActivationContainsPropertyCount,1
alibaba/java-dns-cache-manipulator,ActivationContainsFileCount,0
alibaba/java-dns-cache-manipulator,ActivationIsActiveByDefaultCount,0
alibaba/jvm-sandbox,ProfilesCount,1
alibaba/jvm-sandbox,ContainsActivationCount,1
alibaba/jvm-sandbox,ActivationContainsJDKCount,0
alibaba/jvm-sandbox,ActivationContainsOSCount,0
alibaba/jvm-sandbox,ActivationContainsPropertyCount,0
alibaba/jvm-sandbox,ActivationContainsFileCount,0
alibaba/jvm-sandbox,ActivationIsActiveByDefaultCount,1
alibaba/logger.api,ProfilesCount,1
alibaba/logger.api,ContainsActivationCount,1
alibaba/logger.api,ActivationContainsJDKCount,0
alibaba/logger.api,ActivationContainsOSCount,0
alibaba/logger.api,ActivationContainsPropertyCount,1
alibaba/logger.api,ActivationContainsFileCount,0
alibaba/logger.api,ActivationIsActiveByDefaultCount,0
alibaba/nacos,ProfilesCount,4
alibaba/nacos,ContainsActivationCount,2
alibaba/nacos,ActivationContainsJDKCount,1
alibaba/nacos,ActivationContainsOSCount,0
alibaba/nacos,ActivationContainsPropertyCount,1
alibaba/nacos,ActivationContainsFileCount,0
alibaba/nacos,ActivationIsActiveByDefaultCount,0
alibaba/simpleel,ProfilesCount,2
alibaba/simpleel,ContainsActivationCount,2
alibaba/simpleel,ActivationContainsJDKCount,0
alibaba/simpleel,ActivationContainsOSCount,0
alibaba/simpleel,ActivationContainsPropertyCount,0
alibaba/simpleel,ActivationContainsFileCount,2
alibaba/simpleel,ActivationIsActiveByDefaultCount,2
alibaba/termd,ProfilesCount,14
alibaba/termd,ContainsActivationCount,1
alibaba/termd,ActivationContainsJDKCount,0
alibaba/termd,ActivationContainsOSCount,0
alibaba/termd,ActivationContainsPropertyCount,1
alibaba/termd,ActivationContainsFileCount,0
alibaba/termd,ActivationIsActiveByDefaultCount,0
alibaba/yugong,ProfilesCount,5
alibaba/yugong,ContainsActivationCount,5
alibaba/yugong,ActivationContainsJDKCount,0
alibaba/yugong,ActivationContainsOSCount,3
alibaba/yugong,ActivationContainsPropertyCount,2
alibaba/yugong,ActivationContainsFileCount,0
alibaba/yugong,ActivationIsActiveByDefaultCount,1
aliyun/aliyun-log-consumer-java,ProfilesCount,1
aliyun/aliyun-log-consumer-java,ContainsActivationCount,1
aliyun/aliyun-log-consumer-java,ActivationContainsJDKCount,0
aliyun/aliyun-log-consumer-java,ActivationContainsOSCount,0
aliyun/aliyun-log-consumer-java,ActivationContainsPropertyCount,1
aliyun/aliyun-log-consumer-java,ActivationContainsFileCount,0
aliyun/aliyun-log-consumer-java,ActivationIsActiveByDefaultCount,0
aliyun/aliyun-log-jaeger-sender,ProfilesCount,1
aliyun/aliyun-log-jaeger-sender,ContainsActivationCount,1
aliyun/aliyun-log-jaeger-sender,ActivationContainsJDKCount,0
aliyun/aliyun-log-jaeger-sender,ActivationContainsOSCount,0
aliyun/aliyun-log-jaeger-sender,ActivationContainsPropertyCount,1
aliyun/aliyun-log-jaeger-sender,ActivationContainsFileCount,0
aliyun/aliyun-log-jaeger-sender,ActivationIsActiveByDefaultCount,0
aliyun/aliyun-log-java-producer,ProfilesCount,1
aliyun/aliyun-log-java-producer,ContainsActivationCount,1
aliyun/aliyun-log-java-producer,ActivationContainsJDKCount,0
aliyun/aliyun-log-java-producer,ActivationContainsOSCount,0
aliyun/aliyun-log-java-producer,ActivationContainsPropertyCount,1
aliyun/aliyun-log-java-producer,ActivationContainsFileCount,0
aliyun/aliyun-log-java-producer,ActivationIsActiveByDefaultCount,0
aliyun/aliyun-log-java-sdk,ProfilesCount,1
aliyun/aliyun-log-java-sdk,ContainsActivationCount,1
aliyun/aliyun-log-java-sdk,ActivationContainsJDKCount,0
aliyun/aliyun-log-java-sdk,ActivationContainsOSCount,0
aliyun/aliyun-log-java-sdk,ActivationContainsPropertyCount,1
aliyun/aliyun-log-java-sdk,ActivationContainsFileCount,0
aliyun/aliyun-log-java-sdk,ActivationIsActiveByDefaultCount,0
aliyun/aliyun-log-log4j-appender,ProfilesCount,1
aliyun/aliyun-log-log4j-appender,ContainsActivationCount,1
aliyun/aliyun-log-log4j-appender,ActivationContainsJDKCount,0
aliyun/aliyun-log-log4j-appender,ActivationContainsOSCount,0
aliyun/aliyun-log-log4j-appender,ActivationContainsPropertyCount,1
aliyun/aliyun-log-log4j-appender,ActivationContainsFileCount,0
aliyun/aliyun-log-log4j-appender,ActivationIsActiveByDefaultCount,0
aliyun/aliyun-log-log4j2-appender,ProfilesCount,1
aliyun/aliyun-log-log4j2-appender,ContainsActivationCount,1
aliyun/aliyun-log-log4j2-appender,ActivationContainsJDKCount,0
aliyun/aliyun-log-log4j2-appender,ActivationContainsOSCount,0
aliyun/aliyun-log-log4j2-appender,ActivationContainsPropertyCount,1
aliyun/aliyun-log-log4j2-appender,ActivationContainsFileCount,0
aliyun/aliyun-log-log4j2-appender,ActivationIsActiveByDefaultCount,0
aliyun/aliyun-log-logback-appender,ProfilesCount,1
aliyun/aliyun-log-logback-appender,ContainsActivationCount,1
aliyun/aliyun-log-logback-appender,ActivationContainsJDKCount,0
aliyun/aliyun-log-logback-appender,ActivationContainsOSCount,0
aliyun/aliyun-log-logback-appender,ActivationContainsPropertyCount,1
aliyun/aliyun-log-logback-appender,ActivationContainsFileCount,0
aliyun/aliyun-log-logback-appender,ActivationIsActiveByDefaultCount,0
aliyun/aliyun-log-producer-java,ProfilesCount,1
aliyun/aliyun-log-producer-java,ContainsActivationCount,1
aliyun/aliyun-log-producer-java,ActivationContainsJDKCount,0
aliyun/aliyun-log-producer-java,ActivationContainsOSCount,0
