name,url,default_branch,stars
NetEase/pomelo-protocol,https://github.com/NetEase/pomelo-protocol,master,22
NetEase/pomelo-status-plugin,https://github.com/NetEase/pomelo-status-plugin,master,22
namoshizun/PyPOMDP,https://github.com/namoshizun/PyPOMDP,master,22
netomarin/pomodroid,https://github.com/netomarin/pomodroid,master,22
verygoodwlk/txbb_pom,https://github.com/verygoodwlk/txbb_pom,master,22
leenjewel/pomelo-kcp,https://github.com/leenjewel/pomelo-kcp,master,22
metalelf0/pomodori-todo.txt,https://github.com/metalelf0/pomodori-todo.txt,master,22
loveky/pomodoro-time,https://github.com/loveky/pomodoro-time,master,22
francois2metz/pomodoro-awesome,https://github.com/francois2metz/pomodoro-awesome,master,22
google-udacity-india-scholars/abnd-track-pomodoro-timer-app,https://github.com/google-udacity-india-scholars/abnd-track-pomodoro-timer-app,master,21
OpenHackPomodoro/pomodoro,https://github.com/OpenHackPomodoro/pomodoro,master,21
flamefox/pomelo-unitychat,https://github.com/flamefox/pomelo-unitychat,master,21
httpete-ire/pomodoro,https://github.com/httpete-ire/pomodoro,master,21
minixli/pomelo-citrus,https://github.com/minixli/pomelo-citrus,master,21
jolicode/pomdok,https://github.com/jolicode/pomdok,master,21
ssaroha/mahout-recommender-webservice,https://github.com/ssaroha/mahout-recommender-webservice,master,21
roclas/pomParser,https://github.com/roclas/pomParser,master,20
Nyubis/Pomfshare,https://github.com/Nyubis/Pomfshare,master,20
jboss-switchyard/parent,https://github.com/jboss-switchyard/parent,master,20
Pomona/Pomona,https://github.com/Pomona/Pomona,develop,20
WangJunTYTL/peaceful-basic-platform,https://github.com/WangJunTYTL/peaceful-basic-platform,master,20
tsauliu/todoist_pomotodo,https://github.com/tsauliu/todoist_pomotodo,master,20
Senketsu/pomfit,https://github.com/Senketsu/pomfit,devel,20
pomelonode/pomelo-cocos2d-js-demo,https://github.com/pomelonode/pomelo-cocos2d-js-demo,master,20
leonardoamx/pomodairo,https://github.com/leonardoamx/pomodairo,master,20
rachsmithcodes/my-pomodoro,https://github.com/rachsmithcodes/my-pomodoro,master,18
hannakalinowska/pomodoro.rb,https://github.com/hannakalinowska/pomodoro.rb,master,18
efenglu/maven,https://github.com/efenglu/maven,master,18
BorealisAI/pommerman-baseline,https://github.com/BorealisAI/pommerman-baseline,master,18
DerLobi/pomotv-tvos-client,https://github.com/DerLobi/pomotv-tvos-client,master,18
qcam/pomox,https://github.com/qcam/pomox,master,18
DinoChan/OnePomodoro,https://github.com/DinoChan/OnePomodoro,master,18
zhoujianghai/PompaDroid,https://github.com/zhoujianghai/PompaDroid,master,17
scijava/pom-scijava,https://github.com/scijava/pom-scijava,master,17
aeantipov/pomerol,https://github.com/aeantipov/pomerol,master,17
NetEase/pomelo-unitychat,https://github.com/NetEase/pomelo-unitychat,master,17
mintyPT/pomodoro,https://github.com/mintyPT/pomodoro,gh-pages,17
snyk/snyk-maven-plugin,https://github.com/snyk/snyk-maven-plugin,master,17
mattbudde/pomotron,https://github.com/mattbudde/pomotron,develop,17
isghost/pomeloclientcpp,https://github.com/isghost/pomeloclientcpp,master,16
eu-evops/selenium-pom,https://github.com/eu-evops/selenium-pom,develop,16
malev/pomodoro-indicator,https://github.com/malev/pomodoro-indicator,master,16
catohaste/POMDP,https://github.com/catohaste/POMDP,master,16
apache/maven-pom-retired,https://github.com/apache/maven-pom-retired,trunk,16
shuidong/fastPomeloUnity,https://github.com/shuidong/fastPomeloUnity,master,16
boxheed/gradle-pater-build-plugin,https://github.com/boxheed/gradle-pater-build-plugin,master,16
boettiger-lab/pomdp-intro,https://github.com/boettiger-lab/pomdp-intro,master,16
ShaoNianyr/Autotest_platform,https://github.com/ShaoNianyr/Autotest_platform,master,16
jbaruch/Gradle-M2Metadata-Plugin,https://github.com/jbaruch/Gradle-M2Metadata-Plugin,master,16
lgnlgn/ik4solr4.3,https://github.com/lgnlgn/ik4solr4.3,master,16
pentaho/maven-parent-poms,https://github.com/pentaho/maven-parent-poms,master,15
amsXYZ/POM,https://github.com/amsXYZ/POM,master,15
CodersHigh/PomoTimer,https://github.com/CodersHigh/PomoTimer,master,15
klen/pomodoro-tracker-locales,https://github.com/klen/pomodoro-tracker-locales,master,15
PomeloFoundation/Pomelo.Net.Pomelium,https://github.com/PomeloFoundation/Pomelo.Net.Pomelium,master,15
xiarendeniao/pomelo-aoi,https://github.com/xiarendeniao/pomelo-aoi,master,15
grosser/get_pomo,https://github.com/grosser/get_pomo,master,15
wilsonchaney/pomodoro,https://github.com/wilsonchaney/pomodoro,master,15
huzikai0424/pomelo,https://github.com/huzikai0424/pomelo,master,15
