path,extension,size_bytes,source,access_mode
data-preparation/src/transformation/ghg/cait.py,.py,9507,data_preparation,data_transformation
data-preparation/src/transformation/ghg/edgar.py,.py,3975,data_preparation,data_transformation
data-preparation/src/transformation/ghg/fao.py,.py,3401,data_preparation,data_transformation
data-preparation/src/transformation/ghg/ghg.py,.py,16965,data_preparation,data_transformation
data-preparation/src/transformation/ghg/pik.py,.py,4347,data_preparation,data_transformation
data-preparation/src/transformation/ghg/unfcc.py,.py,5485,data_preparation,data_transformation
data-preparation/src/transformation/ghg/__init__.py,.py,0,data_preparation,data_transformation
data-preparation/src/utils/compare.py,.py,756,data_preparation,utility
data-preparation/src/utils/format.py,.py,957,data_preparation,utility
data-preparation/src/utils/iso3166.py,.py,20118,data_preparation,utility
data-preparation/src/utils/translation.py,.py,39847,data_preparation,utility
data-preparation/src/utils/utils.py,.py,5451,data_preparation,utility
data-preparation/src/utils/__init__.py,.py,42,data_preparation,utility
server/.gitattributes,,43,other,other
server/.gitignore,,14,other,other
server/.graphqlconfig,,157,other,other
server/.prettierrc.json,.json,27,other,data_file
server/csv-to-sqlite.ts,.ts,2890,other,api_backend
server/db.ts,.ts,199,other,api_backend
server/dbSchema.ts,.ts,11277,other,api_backend
server/global.d.ts,.ts,278,other,api_backend
server/jest.config.js,.js,213,other,api_backend
server/knexDatasource.ts,.ts,130,other,api_backend
server/package.json,.json,1575,other,data_file
server/readme.md,.md,216,other,other
server/schema.ts,.ts,20171,other,api_backend
server/server.ts,.ts,1120,other,api_backend
server/tsconfig.json,.json,181,other,data_file
server/types.ts,.ts,65608,other,api_backend
server/yarn.lock,.lock,261713,other,other
server/.vscode/launch.json,.json,453,other,data_file
server/data/CARBON_INTENSITY_OF_GDP_carbon_intensity_of_gdp_prod.csv,.csv,1962357,data_carbon_intensity_of_gdp_carbon_intensity_of_gdp_prod.csv,embedded_db
server/data/CO2_CBA_PER_CAPITA_eora_cba_zones_per_capita_prod.csv,.csv,1137306,data_co2_cba_per_capita_eora_cba_zones_per_capita_prod.csv,embedded_db
server/data/CO2_CBA_PER_GDP_eora_cba_per_gdp_prod.csv,.csv,3314998,data_co2_cba_per_gdp_eora_cba_per_gdp_prod.csv,embedded_db
server/data/CO2_CONSUMPTION_BASED_ACCOUNTING_eora_co2_trade_by_country_prod.csv,.csv,4070617,data_co2_consumption_based_accounting_eora_co2_trade_by_country_prod.csv,embedded_db
server/data/CO2_CONSUMPTION_BASED_ACCOUNTING_eora_co2_trade_by_sector.csv,.csv,1149369,data_co2_consumption_based_accounting_eora_co2_trade_by_sector.csv,embedded_db
server/data/CO2_CONSUMPTION_BASED_ACCOUNTING_footprint_vs_territorial_prod.csv,.csv,1933697,data_co2_consumption_based_accounting_footprint_vs_territorial_prod.csv,embedded_db
server/data/country_multiselect_groups.csv,.csv,2746,data_country_multiselect_groups.csv,embedded_db
server/data/DATAPORTAL_UTILS_dataportal_sources_prod.csv,.csv,17047,data_dataportal_utils_dataportal_sources_prod.csv,embedded_db
server/data/ENERGY_INTENSITY_OF_GDP_energies_intensities_of_gdp_prod.csv,.csv,5887532,data_energy_intensity_of_gdp_energies_intensities_of_gdp_prod.csv,embedded_db
server/data/ENERGY_PER_CAPITA_energy_per_capita_prod.csv,.csv,7764713,data_energy_per_capita_energy_per_capita_prod.csv,embedded_db
server/data/FINAL_ENERGY_CONSUMPTION_final_cons_by_energy_family_full_prod.csv,.csv,420488,data_final_energy_consumption_final_cons_by_energy_family_full_prod.csv,embedded_db
server/data/FOSSIL_IMPORT_EXPORT_us_eia_fossil_zones_prod.csv,.csv,3552392,data_fossil_import_export_us_eia_fossil_zones_prod.csv,embedded_db
server/data/FOSSIL_RESERVES_bp_fossil_with_zones_prod.csv,.csv,283203,data_fossil_reserves_bp_fossil_with_zones_prod.csv,embedded_db
server/data/GHG_EMISSIONS_ghg_full_by_gas_prod.csv,.csv,13631789,data_ghg_emissions_ghg_full_by_gas_prod.csv,embedded_db
server/data/GHG_EMISSIONS_ghg_full_by_sector_prod.csv,.csv,23386071,data_ghg_emissions_ghg_full_by_sector_prod.csv,embedded_db
server/data/GHG_EMISSIONS_PER_CAPITA_ghg_per_capita_prod.csv,.csv,3932841,data_ghg_emissions_per_capita_ghg_per_capita_prod.csv,embedded_db
server/data/HISTORICAL_CO2_EMISSIONS_FROM_ENERGY_eia_with_zones_prod.csv,.csv,2649344,data_historical_co2_emissions_from_energy_eia_with_zones_prod.csv,embedded_db
server/data/HISTORICAL_CO2_EMISSIONS_PER_CAPITA_co2_per_capita_prod.csv,.csv,2124530,data_historical_co2_emissions_per_capita_co2_per_capita_prod.csv,embedded_db
server/data/IEA_API_electricity_by_energy_family_prepared_prod.csv,.csv,1803653,data_iea_api_electricity_by_energy_family_prepared_prod.csv,embedded_db
server/data/IEA_API_final_cons_by_sector_prod.csv,.csv,2097465,data_iea_api_final_cons_by_sector_prod.csv,embedded_db
server/data/IEA_API_final_cons_gas_by_sector_prod.csv,.csv,1213290,data_iea_api_final_cons_gas_by_sector_prod.csv,embedded_db
server/data/IEA_API_final_cons_oil_products_by_sector_prod.csv,.csv,2434555,data_iea_api_final_cons_oil_products_by_sector_prod.csv,embedded_db
server/data/IEA_API_nuclear_share_of_electricity_generation_prod.csv,.csv,143810,data_iea_api_nuclear_share_of_electricity_generation_prod.csv,embedded_db
server/data/KAYA_kaya_base_100_prod.csv,.csv,2883976,data_kaya_kaya_base_100_prod.csv,embedded_db
server/data/OIL_EXTRAPOLATION_oil_prod_extrapolation_prod.csv,.csv,32732208,data_oil_extrapolation_oil_prod_extrapolation_prod.csv,embedded_db
server/data/OIL_EXTRAPOLATION_oil_prod_weo_extrapolated_prod.csv,.csv,683549,data_oil_extrapolation_oil_prod_weo_extrapolated_prod.csv,embedded_db
server/data/WORLD_ENERGY_HISTORY_electricity_capacity_prod.csv,.csv,3340369,data_world_energy_history_electricity_capacity_prod.csv,embedded_db
server/data/WORLD_ENERGY_HISTORY_primary_energy_prod.csv,.csv,13929608,data_world_energy_history_primary_energy_prod.csv,embedded_db
server/data/WORLD_ENERGY_HISTORY_renewable_primary_energy_prod.csv,.csv,7041020,data_world_energy_history_renewable_primary_energy_prod.csv,embedded_db
server/data/WORLD_ENERGY_HISTORY_renewable_share_of_primary_energy_prod.csv,.csv,1588298,data_world_energy_history_renewable_share_of_primary_energy_prod.csv,embedded_db
server/resolvers/cO2FromEnergy.ts,.ts,16395,other,api_backend
server/resolvers/co2ImportsExports.ts,.ts,14140,other,api_backend
server/resolvers/coal.ts,.ts,9553,other,api_backend
server/resolvers/electricity.ts,.ts,18566,other,api_backend
server/resolvers/energyIntensityGDP.ts,.ts,6510,other,api_backend
server/resolvers/finalEnergies.ts,.ts,15697,other,api_backend
server/resolvers/footprint.ts,.ts,14580,other,api_backend
server/resolvers/gas.ts,.ts,15600,other,api_backend
server/resolvers/gHGByGas.ts,.ts,19927,other,api_backend
server/resolvers/importExport.ts,.ts,4651,other,api_backend
server/resolvers/index.ts,.ts,1372,other,api_backend
server/resolvers/kaya.ts,.ts,3399,other,api_backend
server/resolvers/nuclear.ts,.ts,8690,other,api_backend
server/resolvers/oil.ts,.ts,33847,other,api_backend
server/resolvers/primaryEnergies.ts,.ts,14138,other,api_backend
server/resolvers/renewableEnergies.ts,.ts,12930,other,api_backend
server/resolvers/helpers/distinctCountries.ts,.ts,562,other,api_backend
server/resolvers/helpers/distinctFamilies.ts,.ts,434,other,api_backend
server/resolvers/helpers/distinctGroups.ts,.ts,586,other,api_backend
server/resolvers/helpers/distinctSources.ts,.ts,338,other,api_backend
server/resolvers/helpers/distinctZones.ts,.ts,583,other,api_backend
server/resolvers/helpers/getMdInfos.ts,.ts,336,other,api_backend
server/resolvers/helpers/index.ts,.ts,325,other,api_backend
server/utils/cO2Conversions.json,.json,1359,other,data_file
server/utils/cO2EqConversions.json,.json,1171,other,data_file
server/utils/cO2EqMultiplier.ts,.ts,228,other,api_backend
server/utils/cO2EqUnits.ts,.ts,169,other,api_backend
server/utils/cO2Multiplier.ts,.ts,218,other,api_backend
server/utils/cO2Units.ts,.ts,141,other,api_backend
server/utils/energyConversions.json,.json,4109,other,data_file
server/utils/energyMultiplier.test.ts,.ts,645,other,api_backend
server/utils/energyMultiplier.ts,.ts,236,other,api_backend
server/utils/energyUnits.ts,.ts,247,other,api_backend
server/utils/groupBy.ts,.ts,238,other,api_backend
server/utils/requireUserInputs.ts,.ts,613,other,api_backend
server/utils/stringToColor.ts,.ts,345,other,api_backend
server/utils/typeColor.ts,.ts,13253,other,api_backend
