"sep=,"
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sync/sync.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/test/test.c.xml,SHELL
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/uuidgen/uuidgen.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/alloca.h.xml,_COMPAT_OPENSOLARIS_ALLOCA_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/assert.h.xml,NDEBUG;_ASSERT_H_;__cplusplus
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/devid.h.xml,_OPENSOLARIS_DEVID_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/dtrace.h.xml,_COMPAT_OPENSOLARIS_DTRACE_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/fcntl.h.xml,_COMPAT_OPENSOLARIS_FCNTL_H_;open64
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/fsshare.h.xml,_OPENSOLARIS_FSSHARE_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/libintl.h.xml,_LIBINTL_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/libproc.h.xml,_COMPAT_OPENSOLARIS_LIBPROC_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/libshare.h.xml,_OPENSOLARIS_LIBSHARE_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/priv.h.xml,_OPENSOLARIS_PRIV_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/sha2.h.xml,_OPENSOLARIS_SHA2_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/solaris.h.xml,_SOLARIS_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/stdio.h.xml,_COMPAT_OPENSOLARIS_STDIO_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/stdlib.h.xml,_COMPAT_OPENSOLARIS_STDLIB_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/strings.h.xml,_COMPAT_OPENSOLARIS_STRINGS_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/thread_pool.h.xml,_THREAD_POOL_H_;__STDC__;__cplusplus
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/unistd.h.xml,_COMPAT_OPENSOLARIS_UNISTD_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/include/zone.h.xml,_ZONE_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/lib/libumem/umem.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/cddl/compat/opensolaris/lib/libumem/umem.h.xml,_UMEM_H;__cplusplus
