date,commit,author,file,change_type,lines_added,lines_removed,msg
2025-06-20,37c983d0cf8dd8887ad94c6f568bbb3ced92ffa7,Jeremy Greze,dbt_/models/website/web__resultats_communes.sql,MODIFY,3,3,Ajout détails des paramètres sur dernier prélèvements (#181)
2025-06-20,37c983d0cf8dd8887ad94c6f568bbb3ced92ffa7,Jeremy Greze,dbt_/models/website/web__resultats_udi.sql,MODIFY,9,9,Ajout détails des paramètres sur dernier prélèvements (#181)
2025-06-25,3e37818eb8f4667a9b2e2d1187019993b0bf1bc9,Jeremy Greze,dbt_/models/intermediate/int__union_resultats_commune.sql,MODIFY,6,0,Resultats pesticides bilans annuels (#180)
2025-06-25,3e37818eb8f4667a9b2e2d1187019993b0bf1bc9,Jeremy Greze,dbt_/models/intermediate/int__union_resultats_udi.sql,MODIFY,62,0,Resultats pesticides bilans annuels (#180)
2025-06-25,3e37818eb8f4667a9b2e2d1187019993b0bf1bc9,Jeremy Greze,dbt_/models/intermediate/pesticide/int__resultats_pesticide_udi_annuel.sql,ADD,65,0,Resultats pesticides bilans annuels (#180)
2025-06-25,3e37818eb8f4667a9b2e2d1187019993b0bf1bc9,Jeremy Greze,dbt_/models/intermediate/pesticide/metabolite/int__resultats_metabolite_udi_annuel.sql,ADD,57,0,Resultats pesticides bilans annuels (#180)
2025-06-25,3e37818eb8f4667a9b2e2d1187019993b0bf1bc9,Jeremy Greze,dbt_/models/intermediate/pesticide/metabolite_specifique/int__resultats_metabolite_specifique_udi_annuel.sql,ADD,70,0,Resultats pesticides bilans annuels (#180)
2025-06-25,3e37818eb8f4667a9b2e2d1187019993b0bf1bc9,Jeremy Greze,dbt_/models/intermediate/pesticide/sub_active/int__resultats_sub_active_udi_annuel.sql,ADD,57,0,Resultats pesticides bilans annuels (#180)
2025-07-16,45200186502722a01277bf877bf4ed0c6ce3c087,Jeremy Greze,dbt_/models/website/web__stats_udi.sql,ADD,102,0,Add web__stats_udi model and integrate  statistics into the side panel
2025-07-17,d049d717d008dd2d2f6d116e44b07da7b3756a53,Jeremy Greze,dbt_/models/website/web__stats_udi.sql,MODIFY,23,1,New PFAS stat in PollutionSidePanel
2025-07-21,5a0339a11772538ab6ab3668e97d5905c6707239,Simon Da Costa,dbt_/models/intermediate/int__union_resultats_commune.sql,MODIFY,29,0,Ajour des résultats des metaux lourds (#169)
2025-07-21,5a0339a11772538ab6ab3668e97d5905c6707239,Simon Da Costa,dbt_/models/intermediate/int__union_resultats_udi.sql,MODIFY,29,0,Ajour des résultats des metaux lourds (#169)
2025-07-21,5a0339a11772538ab6ab3668e97d5905c6707239,Simon Da Costa,dbt_/models/intermediate/metaux_lourds/int__resultats_metaux_lourds_commune_annuel.sql,ADD,66,0,Ajour des résultats des metaux lourds (#169)
2025-07-21,5a0339a11772538ab6ab3668e97d5905c6707239,Simon Da Costa,dbt_/models/intermediate/metaux_lourds/int__resultats_metaux_lourds_commune_dernier.sql,ADD,85,0,Ajour des résultats des metaux lourds (#169)
