AzwarTrapYT/ccmusicbot;polyglot-xml/src/test/resources/pom/pom_CiManagement_v4.xml;4
JRakNet/JRakNet;pom.xml;412
wavemakerapps/Auto_oLzayrYwcH;pom.xml;0
OlliTietavainenVaadin/twincolselect-for-flow;pom.xml.versionsBackup;2
yasha-tymoshenko/vertx-rest-crud;pom.xml;24
wavemakerapps/Auto_LwEKJRAiVZ;pom.xml;0
MinBZK/OperatieBRP;2016/brp 2016-02-09/algemeen/algemeen-model/expressietaal/pom.xml;25
aminesabri/git-training-tmc;TMC_GIT/poms/jobs/process/job2_0.1/pom.xml;1
micheeKamte/Weka-3.8_Labo;packages/external/SMOTE/pom.xml;22
dparekh2005/DemoSite;pom.xml;886
Ankit4550/Integration-Testing;pom.xml;1
ThoreauZZ/spring-cloud-example;cloud-service-comx/pom.xml;177
rac2030/TestConfigurationManager;pom.xml;102
wavemakerapps/Auto_naKRUKUavP;pom.xml;0
ipaynowORG/ipaynow_agent_php;ipaynow_agent_php_sdk/sdk/vendor/google/protobuf/java/pom.xml;0
kklisura/props-to-constants-generator;pom.xml;0
sbaggam/Demos;ESB_GIT/poms/jobs/process/t01_Compo/LogError/tlogcatcher1_0.1/pom.xml;18
modis1/crux-projects;phonebook/pom.xml;0
Hurdmmmer/guns-parent;pom.xml;5
shaojava/openmobster;cloud/android/test-suite/test-connection-port/pom.xml;120
MrLTJ19941003/guns;pom.xml;2
man2015/sipservlets;containers/tomcat-7/pom.xml;459
wavemakerapps/Auto_kdzkgMnyzl;pom.xml;0
w350491385/jsonrpc4j;target/classes/META-INF/maven/com.yzmy/jsonrpc4j/pom.xml;2
hanwei996/enterprise-project;shadow-service/pom.xml;1
FaAway/moneytransfer;pom.xml;19
nmontielh/ClaroGuatemalaCertificadoRegalo;CertificadoRegalo/certificados-regalo-v2.0/pom.xml;38
kleopatra999/elim-waters;pom.xml;16
microprofile-extensions/config-ext;config-example/pom.xml;115
ruromero/kogito-cep;pom.xml;6
52North/terrainserver;pom.xml;12
eedwards99/git-training;GITPROJECT/poms/jobs/process/DI/t01_Compo/Databases/InOut/AS400/tas400output_0.1/pom.xml;90
icon299/guava;guava/pom.xml;2888
mounikaveldhi/deploy;pom.xml;225
slmdeepu/jacoco;running-solr-with-maven/pom.xml;52
durgaprasad95/spring-boot-my-code;spring-boot-project/spring-boot-tools/spring-boot-gradle-plugin/pom.xml;10974
qdusser/librePlan;libreplan-webapp/pom.xml;2
radanalyticsio/radtests;pom.xml;3
malston/sample-spring-cloud-svc;pom.xml;71
YuanYingChang/yuanRepository;spring-boot-project/spring-boot-cli/pom.xml;11087
msaimir/link-translations;pom.xml;10
yishanchuan/WeiboAnalysis;Spider/fast/pom.xml;9
afitts/teststorm;target/streams/$global/assemblyOption/$global/streams/assembly/0a78c41768472b76fd8266d7a4a8ff0ea551f11c_9c05777ca5a33e44c87ec9fad21cce6ff3826a6f_da39a3ee5e6b4b0d3255bfef95601890afd80709/META-INF/maven/org.yaml/snakeyaml/pom.xml;0
offbynull/portmapper;pom.xml;238
foot-marker/webRTC;third_party/protobuf/java/pom.xml;5130
satchpx/scylla-px;scylla-code-samples/flink_streaming_into_scylla/flink-app/dependency-reduced-pom.xml;2
DimitrisLask/camunda-batch;camunda-bpm-platform-dev/qa/integration-tests-webapps/shared-engine/pom.xml;8
wavemakerapps/Auto_CmuOBRiuLW;pom.xml;0
prestodb/presto;presto-hive-metastore/pom.xml;0
john-zhang1/Wire;dspace/modules/jspui/pom.xml;63
kvovo/kvovo;lessonbuilder/tool/pom.xml;34514
gmsmirnov/job4j_hibernate;pom.xml;3
wavemakerapps/Auto_kkNktyLcSr;pom.xml;0
wavemakerapps/Auto_EhTNCJgXlp;pom.xml;0
balanzer/resources;RESTful JAX_RS/Exercise Files/03_07_start/rest-client/pom.xml;1
dive-tv/sdk-client-java;pom.xml;21
akrajan/presentation;pom.xml;0
wacr2008/soui_gn;SOUI_gn/third_party/protobuf/java/pom.xml;8
nagarjunan/samplemvnbuild;pom.xml;9
MaxChanger/catkin_cartographer;protobuf/java/pom.xml;1
VeenaHosur/the-fascinator;the-fascinator/tags/the-fascinator-1.0.6/core/pom.xml;407
ajbali-talend/git-training-tmc;TMC_AJBALI/poms/jobs/process/job2_0.1/pom.xml;0
corso75/google_protobuf;java/pom.xml;2603
confluentinc/kafka-streams-examples;pom.xml;355
Swanthasd/mygol;pom.xml;3
boggy0923/Apache_Flink_ksu;flink-1.6.1/flink-contrib/flink-storm-examples/target/classes/META-INF/maven/org.yaml/snakeyaml/pom.xml;5
vijaypavanchemuturi/the-fascinator;the-fascinator/tags/the-fascinator-1.0.6/core/pom.xml;407
6uzman/ecommerce-website;pom.xml;0
dsvi/archivarius;libs/protobuf/java/pom.xml;0
bex1111/mongo-script-versioning;MSV/pom.xml;55
olegfilimonov/uni-fake-casino;pom.xml;6
jordiferm/softtopia-web-spring;pom.xml;1
Ding2266/MyBatis;pom.xml;0
weaponready/ddd-cqrs-sample;ddd_cqrs-sample/pom.xml;24
vmehra-talend/git-training-tmc;TMC_GIT/poms/jobs/process/job2_0.1/pom.xml;1
pksanthoshkumar/TheWorkingOnes;Ex_Files_RESTful_JAX_RS/Exercise Files/04_09_solution/rest-client/pom.xml;24
NAGENDRAYADAM/gameoflife;game-of-life-master/game-of-life-master/pom.xml;1
metlos/RHQ-old;modules/enterprise/server/installer/pom.xml;11000
profK/Red-Dwarf;tags/sgs-0.9.11.5/pom.xml;0
Novthirteen/fordedi;pom.xml;6
wavemakerapps/Auto_kCeBujtahP;pom.xml;0
Erudika/para-dao-mongodb;pom.xml;128
eedwards99/git-training;GITPROJECT/poms/jobs/process/DI/t01_Compo/Processing/treplace_0.1/pom.xml;90
ltorresf/protobuf;java/pom.xml;2678
wavemakerapps/Auto_PCnogNuIuH;pom.xml;0
adshafqat/hola-springboot;pom.xml;1
ksclarke/vertx-super-s3;pom.xml;61
thegooglecodearchive/openmobster;cloud/android/test-suite/test-connection-port/pom.xml;0
macedorafael/argentum-web;pom.xml;16
liuyunpeng788/commentExtract;pom.xml;2
kiocahduaf/guns;pom.xml;8
thiagosoares-trainings/protec2018;pom.xml;2
SpringDemo1/SpringBootJPA;spring-boot-project/spring-boot-tools/spring-boot-gradle-plugin/pom.xml;12064
mbank-mongolia/Talend-projects;CSS_TEAM/poms/jobs/process/str_full_transfer_0.1/pom.xml;2
rsuman21/WekaTesting;trunk/packages/external/normalize/pom.xml;8
svn2github/weka;tags/stable-3-6-10/weka/pom.xml;0
huojunlin/webmagic;pom.xml;1
wavemakerapps/Auto_RMhbiauWZp;pom.xml;0
vincentfree/reactive-mircoservices-showcase;reactive-rest-app/pom.xml;0
yangtu222/BeanUtils;pom.xml;48
burhanuddin/openmobster;cloud/android/test-suite/test-common-port/pom.xml;0
isaacguo/his-solution;pom.xml;335
ashoksrin/gitsession;pom.xml;240
manchala44440/gameoflife;pom.xml;236
lvyong1985/spring-batch-showcase;spring-batch-admin-1.3.1.RELEASE/sample/spring-batch-admin-parent/pom.xml;1
mecoolshow/openmobster;cloud/android/test-suite/test-native-framework/pom.xml;0
ebelenwaf/openmobster;cloud/dev-tools/sampleApps/crud/app-android/pom.xml;120
gabrielmleal/icnsdnnetwork;mini-ndn/jndn/pom.xml;19
gabag30/TalendWorkspace;workspace/OMPI_711/poms/jobs/process/M/EC/a0_general_process_0.1/pom.xml;8
che4/eclipse-rcp-mysql-client;io.e4.releng/pom.xml;0
mike10004/torch-deb;torch-parent/library/pom.xml;13
w350491385/jsonrpc4j;pom.xml;2
lane-s/ComposeVRExtension;src/protobuf-3.5.1/java/pom.xml;25
legol/soulmate;websocket/pom.xml;35
sundar0428/EdurekaCertificationProject;pom.xml;224
Vae-lp/ueboot;ueboot-parent/pom.xml;254
bonprix/vaadin-bootstrap-datetimerangepicker;vaadin-bootstrap-datetimerangepicker-demo/pom.xml;87
sbaggam/Demos;ESB_GIT/poms/jobs/process/t01_Compo/LogError/tflowmeter2_0.1/pom.xml;18
vanilla07/passerelle-admin-api;pom.xml;4
mikebrock/seam-forge;project-model-maven-tests/src/test/resources/test-pom/pom.xml;611
dumingkai/myMmpt;mmpt-service/pom.xml;2
svn2github/weka;tags/prefuseGraph-1.0.2/pom.xml;0
Focuszaa/Fcz_idempiere;org.idempiere.parent/pom.xml;270
cuidadoso/tuturials;spring-rest-full/pom.xml;4801
wavemakerapps/Auto_tdUrTHcGqN;pom.xml;0
ZalemSoftware/OpenMobster;android/test-suite/test-native-framework/pom.xml;12
Angelo4/DevopsProject;pom.xml;222
himni/scanvin-audit-api-java;pom.xml;2
wavemakerapps/Auto_EcGiRaRxNr;pom.xml;0
01akanksha/Summer2016JavaProjects;Project 4/apptbook/pom.xml;2
AlevaStevena/game-of-life;pom.xml;220
kashigattu/rest;spring-mvc-web-vs-initializer/pom.xml;2049
muhammadnomangul/google;vendor/google/protobuf/java/pom.xml;3
blanka9/game-of-life;pom.xml;4
Rathore4u/java-selenium-cucumber-framework;pom.xml;5
lucifax301/chelizi;cms/clz-cms/pom.xml;62
argeo/argeo-commons;dep/org.argeo.dep.cms.node/pom.xml;0
