TITLE;ISSUE_ID;LOGS;COMMITS;ASSIGNES;COMMENTS;OPEN
Error: ExpressionChangedAfterItHasBeenCheckedError: Expression has changed after it was checked. Previous value for '@routeAnimations': 'undefined'. Current value: 'NewAnimationName'.;36173;1;0;0;9;1
HttpClient response observable is not cleaned up on Safari when requests times out;26453;0;1;0;1;0
Memory leak in tests with zone.js >= 0.9.0;40387;0;5;1;11;0
"feat(ngSwitchCase): add ""ngSwitchBreak"" optional directive";19824;0;0;0;7;1
router CanLoad Route guard broken for common use case;17359;0;0;0;17;0
Simple Docs for angular cli command | Routing;38461;0;0;0;6;0
Default ErrorHandler not displaying errors in the console;40366;1;0;0;8;0
"In Safari  using a SafeResourceUrl in <object> with type=""application/pdf""  crashes the entire tab";40309;0;0;0;2;1
"Create a ""Directives Overview""or similar topic";40755;0;0;1;0;1
Zone ES2015 distribution: patched toString returns wrong results for null or undefined;40750;0;0;1;1;0
Using directive in ICU in Ivy is not allowed  and the error message is really vague;37298;1;0;1;2;1
"[2.1.2] When select[multiple] is false then UI is not ""multiple"" but the ngModel return Array";12585;0;0;1;5;0
docs: update Ivy compatibility guide to mention DebugElement behavior difference related to styling;38451;0;0;0;6;1
Type declaration for ActivatedRoute.fragment doesn't declare possible null values;23894;0;9;0;8;1
routerLink adds tabindex even if the route is undefined;17616;0;6;0;4;0
Angular's input validation should align with HTML5 validation! (Currently it does not!);16352;0;5;0;39;0
strictTemplates and strictNullChecks doesn't work well with optional chaining in templates;37619;1;0;0;10;1
ng extract-i18n: Incorrect extraction of placeholders;40670;0;0;0;8;0
Parameters (and data) only available in the component target;11023;0;0;0;58;0
bug(core): viewRef._viewContainerRef can leak memory (ViewRef  ViewContainerRef);38648;0;7;1;5;0
NGCC failure with libraries of similar names;40352;1;4;0;4;0
Comma placement issue for Currency Pipe (observed for Indian Rupee - INR);40350;1;0;0;2;0
i18n ignore leading and trailing spaces;13114;0;6;1;29;1
Service worker doesn't support seeking in videos;25865;0;2;0;19;1
Angular http client not working with translation on in IOS chrome browser;40103;1;0;0;4;1
Angular Elements not working during SSR in Angular 11;40725;0;0;0;1;0
"docs: improve the ""Try it now"" card in the landing page";40179;1;0;1;5;1
Ergonomic component-level code splitting and lazy loading;18093;0;0;0;70;1
Bug: HostBinding get incorrect semantics when property name is same as literal;18698;0;5;0;4;0
HostBinding supports an undocumented magic property name(?);40220;0;8;1;2;0
Host bindings generate invalid code for quoted property names with dashes;40230;0;8;1;1;0
queryParms observable always fires empty initially;40339;0;0;0;2;0
Forms: validators not run when importing extended FormControl class from NPM;40327;0;0;1;3;0
test;40745;1;0;0;0;0
Http ResponseType cannot be set;18586;0;2;0;63;1
docs: No Id's in products.ts in the getting started guide;40189;0;5;1;3;0
Router throws 'Cannot activate an already activated outlet' when lazy loaded module fails and tries to navigate to another route.;29303;1;0;0;8;0
"Angular 5 - ""Error: Cannot activate an already activated outlet"" when named outlets are used in children";20694;0;4;0;43;0
Docs state to update as follows  but does not mention what to do;40280;0;0;0;7;0
AbstractControl maintains validator after corresponding element is removed from view;14955;0;0;0;7;0
Memory leak when FormControlName created/destroyed few times;20007;0;6;1;24;0
CSS encapsulation breaks classes with escaped : colon in name;31844;0;4;1;1;0
getInertBodyElement returns null  crashing in _sanitizeHtml;39834;1;4;0;19;0
Some error messages hard-code v9.angular.io after v11;39837;0;3;0;3;0
datePipe unexpected return value on 2021-01-01 and 2021-01-02;40320;0;0;0;3;0
JIT compiler throws an error on Samsung Internet Browser;40733;0;0;0;2;0
Meta class addTag() with httpEquiv MetaDefinition adds incorrect attribute;31525;0;3;0;3;0
TestBed: Error: Directive SomePipe has no selector  please add it!;36427;1;0;0;4;1
Strings in bindings are not allowed to contain interpolation syntax;39601;0;12;1;5;0
Problems with Mobile Safari;39648;1;0;0;2;0
Strange behaviour with ngModel and looping over the array;40271;0;0;0;5;0
CanActivate not called on redirectTo router rule;;;;;;
extract-i18n generates wrong interpolation equiv-text in v11;39654;0;0;0;46;0
describe format of DecimalPipe's digitsInfo parameter;40671;0;8;1;1;1
Routing works wrong with included routes;40625;0;0;0;2;0
Localized bundle generation failed. Unexpected messageParts for `$localize` (expected an array of strings). Angular 11;40709;1;0;0;1;0
fix(Component with async service): TypeError: jasmine.createSpyObj is not a function;40705;1;0;0;2;0
docs: code section font doesn't look good;40666;0;6;0;2;0
After the application is destroyed the Router service still works;40502;1;7;1;0;0
i18n: $localize extraction should handle ES5 concatenated strings;36937;0;0;0;19;1
Issues developing libraries with VSCode;40700;1;0;0;3;0
input[type=range] with both [min] and [max]: Thumb position is reset when input is hidden and shown again;31062;0;0;0;4;0
`QueryList` emits changes even when its items are not changed;35807;0;0;0;16;0
Upgraded AngularJS component broken transclusion under ng-if;29026;1;0;0;8;1
Regression regarding angular 11.1 with async pipe in template not infering the right type;40637;1;6;0;8;0
Copyright comment blocks in main.js;40691;0;0;0;0;0
Need to run ngcc twice to output Ivy compatible files for modules with dependencies on other modules needing Ivy outputs;40656;0;0;0;4;0
memory leak with angular animation;30728;0;0;0;6;1
Memory leak with animations in combination with @HostBinding;24197;0;0;0;7;1
[Ivy AOT] AOT recompilation is working slow on big projects;35906;0;0;0;10;1
Would like FormControl to also have an event for pristine/touched/untouched/valid (as it does for valueChanges and statusChanges);10887;0;0;0;52;1
Routing works wrong with children and lazy loading (v11.x);40641;1;0;0;3;0
Reactive Forms rules for name and formControlName matching causes conflicts with radio sets in different FormGroup/FormArray sections;40074;0;0;0;6;1
Allow passing misc data to http client options;18155;0;4;0;68;1
DatePipe renders German 'short day' (EE) incorrectly;40654;0;0;0;1;0
Support generic SimpleChange<T> for use in ngOnChanges;17560;0;9;0;13;1
ng-content default content;12530;0;0;1;38;1
Ivy compiler breaks ComponentPortal ComponentFactory combination;39892;1;0;0;12;1
Updating to Angular 10: RangeError: Maximum call stack size exceeded;40495;1;0;0;7;0
FormGroup.value is not updated with FormControl.valueChanges;40649;0;0;0;4;0
AnimationPlayer sometimes throws;26095;0;0;0;3;1
Conditional routing is not working in prod build  while it works in the development mode. (ng serve);40643;0;0;0;5;0
Angular 9 Upgrade updates to tsconfig.app.json are undocumented.;37168;0;0;1;8;0
Runtime Errors (Template parse errors) are not logged any more as Errors but regular info;40628;0;0;0;1;1
App never gets stable;40630;1;0;0;1;0
Duplicated content projection in downgraded components during HMR;40201;0;0;0;2;0
service-worker not initializing when 'enabled' is a variable ;40252;0;0;0;8;0
i18n-extract generates incompatible XLIFF;40235;0;0;0;4;0
ngcc error: Attempted to get members of a non-class but is class;40178;0;0;0;2;0
