TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
Problem with Tour of heroes app for Angular 9 [solved],40268,1,0,0,2
DefaultIterableDiffer should keep the order of duplicates,23815,0,5,0,2
ViewEncapsulation.Emulated and validator.w3.org html validity results,25355,0,0,1,13
App Shell stops building when using a timer in an NgRx effect,40564,0,0,0,6
docs: Missing code sample in Basics of testing components,40558,0,3,2,3
The canDeactivate guard is called with a null component ,40545,0,0,0,4
strictTemplates not working with *ngFor,40576,1,0,0,5
Emulated view encapsulation attribute selectors are extremely slow in IE11,31033,0,0,1,3
"[BUG]: ""export 'ɵɵstaticViewQuery' was not found in '@angular/core' and ASSERTION ERROR: Expecting flags [Expected=> number === boolean <=Actual]",40574,1,0,0,5
:enter animation .done callback gets triggered on element destroy,40186,0,0,0,2
11.1.0 issue worked in 10.0.9 Dependency injection will not be able to resolve the parameters of FieldArrayType's constructor.,40532,1,0,1,4
FormGroup.patchValue should ignore null arrays,21021,0,5,0,13
Form patchValue method throws unnecessary error,36672,1,1,0,7
"regression ""Cannot read property 'registerOnChange' of null at cleanUpControl"" / ""Error during cleanup of component""",40521,1,4,1,7
"ARB Serializer -> missing ""meaning"" on extracted translation files",40506,0,3,0,3
Feature: Intentionally Don't Encapsulate Specified Style,23525,0,0,0,14
When Upgrading from Angular 10 to Angular 11  missing-injectable Schematic Throws Exception,39953,0,0,0,8
Default CSS Encapsulation does not prevent bleed out when using /deep/,13724,0,0,0,3
host-context selector combined with html element issue,31478,0,0,0,2
Error with compile `:host-context` and `:host` in component styles,19572,0,0,0,2
Feature: ViewEncapsulation option to inherit style rules from parent,26298,0,0,0,8
Emulated style encapsulation inheritance does not match native or shadow DOM,29575,0,0,0,3
CSS on recursive component results in `-shadowcsshost` pattern,19445,0,0,0,8
Angular 11: FormGroup Code Which Worked Using Angular 10 Now Fails,40222,1,0,1,13
setControl in reactive forms does not bind disabled status to controls in html,40530,1,0,0,1
A runtime error is thrown when calling `detectChanges`  inside the `transform` method of a pipe.,38611,0,8,1,5
extract-i18n produces wrong equiv-text for files with CRLF ,40169,0,7,1,5
Adding Navigation Id generator issue,40238,0,0,0,2
onDestroy on ComponentRef isn't called in production mode,40105,0,8,1,2
"Karma tests exit with ""Cannot read property 'range' of undefined"" with node >=v14.15.2",40232,0,0,0,2
PWA that polls the server never updates to a newer version,40207,0,5,1,4
"Lazy-loaded module in new project gives ""ɵɵdefineComponent is not a function"" / Fixed by changing .browserslistrc",38865,1,0,0,15
Angular project not at all loading in IE11. Error: Invalid range in character set,38975,1,0,0,2
Regression in compiler-cli 10.1.0+: build is 10x times slower,39274,0,0,0,11
Resolve not invoked with lazy-loaded module using loadChildren as promise,37625,0,0,0,6
Deactivate guards with eager URL updating do not trigger navigations if they ever return false,40194,1,0,0,2
ngFor should optionally show a template when there are no items in the collection,14479,0,8,0,27
