path,extension,size_bytes
server/data/FOSSIL_IMPORT_EXPORT_us_eia_fossil_zones_prod.csv,.csv,3552392
server/data/FOSSIL_RESERVES_bp_fossil_with_zones_prod.csv,.csv,283203
server/data/GHG_EMISSIONS_ghg_full_by_gas_prod.csv,.csv,13631789
server/data/GHG_EMISSIONS_ghg_full_by_sector_prod.csv,.csv,23386071
server/data/GHG_EMISSIONS_PER_CAPITA_ghg_per_capita_prod.csv,.csv,3932841
server/data/HISTORICAL_CO2_EMISSIONS_FROM_ENERGY_eia_with_zones_prod.csv,.csv,2649344
server/data/HISTORICAL_CO2_EMISSIONS_PER_CAPITA_co2_per_capita_prod.csv,.csv,2124530
server/data/IEA_API_electricity_by_energy_family_prepared_prod.csv,.csv,1803653
server/data/IEA_API_final_cons_by_sector_prod.csv,.csv,2097465
server/data/IEA_API_final_cons_gas_by_sector_prod.csv,.csv,1213290
server/data/IEA_API_final_cons_oil_products_by_sector_prod.csv,.csv,2434555
server/data/IEA_API_nuclear_share_of_electricity_generation_prod.csv,.csv,143810
server/data/KAYA_kaya_base_100_prod.csv,.csv,2883976
server/data/OIL_EXTRAPOLATION_oil_prod_extrapolation_prod.csv,.csv,32732208
server/data/OIL_EXTRAPOLATION_oil_prod_weo_extrapolated_prod.csv,.csv,683549
server/data/WORLD_ENERGY_HISTORY_electricity_capacity_prod.csv,.csv,3340369
server/data/WORLD_ENERGY_HISTORY_primary_energy_prod.csv,.csv,13929608
server/data/WORLD_ENERGY_HISTORY_renewable_primary_energy_prod.csv,.csv,7041020
server/data/WORLD_ENERGY_HISTORY_renewable_share_of_primary_energy_prod.csv,.csv,1588298
server/resolvers/cO2FromEnergy.ts,.ts,16395
server/resolvers/co2ImportsExports.ts,.ts,14140
server/resolvers/coal.ts,.ts,9553
server/resolvers/electricity.ts,.ts,18566
server/resolvers/energyIntensityGDP.ts,.ts,6510
server/resolvers/finalEnergies.ts,.ts,15697
server/resolvers/footprint.ts,.ts,14580
server/resolvers/gas.ts,.ts,15600
server/resolvers/gHGByGas.ts,.ts,19927
server/resolvers/importExport.ts,.ts,4651
server/resolvers/index.ts,.ts,1372
server/resolvers/kaya.ts,.ts,3399
server/resolvers/nuclear.ts,.ts,8690
server/resolvers/oil.ts,.ts,33847
server/resolvers/primaryEnergies.ts,.ts,14138
server/resolvers/renewableEnergies.ts,.ts,12930
server/resolvers/helpers/distinctCountries.ts,.ts,562
server/resolvers/helpers/distinctFamilies.ts,.ts,434
server/resolvers/helpers/distinctGroups.ts,.ts,586
server/resolvers/helpers/distinctSources.ts,.ts,338
server/resolvers/helpers/distinctZones.ts,.ts,583
server/resolvers/helpers/getMdInfos.ts,.ts,336
server/resolvers/helpers/index.ts,.ts,325
server/utils/cO2Conversions.json,.json,1359
server/utils/cO2EqConversions.json,.json,1171
server/utils/cO2EqMultiplier.ts,.ts,228
server/utils/cO2EqUnits.ts,.ts,169
server/utils/cO2Multiplier.ts,.ts,218
server/utils/cO2Units.ts,.ts,141
server/utils/energyConversions.json,.json,4109
server/utils/energyMultiplier.test.ts,.ts,645
server/utils/energyMultiplier.ts,.ts,236
server/utils/energyUnits.ts,.ts,247
server/utils/groupBy.ts,.ts,238
server/utils/requireUserInputs.ts,.ts,613
server/utils/stringToColor.ts,.ts,345
server/utils/typeColor.ts,.ts,13253
